property_id,address,city,state,zip_code,property_type,bedrooms,bathrooms,sqft,lot_size,year_built,list_price,sale_price,days_on_market,listing_date,sale_date,agent_name,agent_commission,hoa_fee,parking_spaces,pool,garage,basement,stories,condition,neighborhood_rating,school_rating,crime_rate,latitude,longitude
1,123 Oak Street,Los Angeles,CA,90001,Single Family,4,3,2500,0.25,1995,850000,825000,45,2024-01-15,2024-03-01,Sarah Johnson,0.03,150,2,Yes,Yes,No,2,Excellent,8.5,9,2.3,34.0522,-118.2437
2,456 Pine Avenue,San Francisco,CA,94102,Condo,2,2,1200,0,2010,720000,735000,21,2024-02-01,2024-02-22,Michael Chen,0.025,450,1,No,No,No,1,Good,9,10,1.8,37.7749,-122.4194
3,789 Maple Drive,Seattle,WA,98101,Single Family,3,2,1800,0.15,2005,650000,640000,60,2024-01-10,2024-03-11,Emily Davis,0.03,0,2,No,Yes,Yes,2,Good,7.5,8,3.1,47.6062,-122.3321
4,321 Cedar Lane,Austin,TX,78701,Townhouse,3,2.5,1650,0.08,2018,480000,495000,14,2024-03-01,2024-03-15,Robert Martinez,0.028,200,2,No,Yes,No,3,Excellent,8,8.5,2.5,30.2672,-97.7431
5,654 Birch Road,Denver,CO,80202,Single Family,5,4,3200,0.35,1988,920000,890000,90,2023-12-01,2024-02-29,Sarah Johnson,0.03,0,3,Yes,Yes,Yes,2,Fair,7,7.5,4.2,39.7392,-104.9903
6,987 Elm Street,Phoenix,AZ,85001,Single Family,4,2,2100,0.2,2000,425000,420000,35,2024-02-10,2024-03-16,Jessica Brown,0.025,0,2,Yes,Yes,No,1,Good,6.5,7,5.1,33.4484,-112.074
7,147 Walnut Way,Portland,OR,97201,Condo,1,1,750,0,2015,385000,380000,28,2024-02-20,2024-03-19,Michael Chen,0.025,350,1,No,No,No,1,Excellent,8.5,8,2.8,45.5152,-122.6784
8,258 Spruce Court,Miami,FL,33101,Condo,3,2,1450,0,2012,580000,595000,18,2024-03-05,2024-03-23,Amanda Wilson,0.03,550,1,Yes,No,No,1,Excellent,9,8.5,3.5,25.7617,-80.1918
9,369 Ash Boulevard,Chicago,IL,60601,Townhouse,2,1.5,1100,0.05,2008,350000,345000,55,2024-01-25,2024-03-20,David Lee,0.028,180,1,No,No,Yes,2,Good,7,9,4.8,41.8781,-87.6298
10,741 Oakwood Drive,Boston,MA,02101,Single Family,4,3.5,2800,0.3,1965,1150000,1120000,40,2024-02-05,2024-03-16,Emily Davis,0.03,0,2,No,Yes,Yes,3,Good,9,10,2.1,42.3601,-71.0589
11,852 Hickory Lane,Nashville,TN,37201,Single Family,3,2,1750,0.18,2010,385000,390000,22,2024-03-01,2024-03-23,Robert Martinez,0.025,0,2,No,Yes,No,2,Excellent,7.5,7,3.8,36.1627,-86.7816
12,963 Willow Street,San Diego,CA,92101,Condo,2,2,1100,0,2019,550000,560000,15,2024-03-10,2024-03-25,Sarah Johnson,0.025,400,1,Yes,No,No,1,Excellent,8.5,9,2.0,32.7157,-117.1611
13,174 Chestnut Avenue,Atlanta,GA,30301,Townhouse,3,2.5,1900,0.1,2016,420000,415000,32,2024-02-15,2024-03-18,Jessica Brown,0.028,250,2,No,Yes,No,3,Good,7,8,4.5,33.749,-84.388
14,285 Redwood Road,Las Vegas,NV,89101,Single Family,5,3,2650,0.22,2003,520000,505000,75,2024-01-05,2024-03-20,Amanda Wilson,0.03,0,3,Yes,Yes,No,2,Fair,6,6.5,6.2,36.1699,-115.1398
15,396 Cypress Lane,Dallas,TX,75201,Single Family,4,3,2400,0.28,1998,475000,480000,25,2024-02-28,2024-03-24,David Lee,0.03,0,2,Yes,Yes,Yes,2,Good,7.5,8,4.0,32.7767,-96.797
16,417 Magnolia Drive,Houston,TX,77001,Townhouse,3,2,1550,0.06,2020,365000,370000,12,2024-03-12,2024-03-24,Robert Martinez,0.025,175,2,No,Yes,No,2,Excellent,7,7.5,5.5,29.7604,-95.3698
17,528 Poplar Street,New York,NY,10001,Condo,1,1,650,0,2018,890000,920000,8,2024-03-15,2024-03-23,Michael Chen,0.02,800,0,No,No,No,1,Excellent,9.5,9,3.2,40.7128,-74.006
18,639 Sycamore Way,Charlotte,NC,28201,Single Family,4,2.5,2200,0.2,2007,410000,405000,48,2024-02-01,2024-03-20,Emily Davis,0.028,0,2,No,Yes,Yes,2,Good,7,8,3.0,35.2271,-80.8431
19,750 Beech Avenue,Minneapolis,MN,55401,Townhouse,2,2,1350,0.04,2014,320000,325000,30,2024-02-25,2024-03-26,Jessica Brown,0.025,220,1,No,No,Yes,2,Good,8,8.5,2.8,44.9778,-93.265
20,861 Juniper Court,Tampa,FL,33601,Condo,2,2,1250,0,2016,340000,350000,20,2024-03-05,2024-03-25,Amanda Wilson,0.028,380,1,Yes,No,No,1,Excellent,7.5,7,4.3,27.9506,-82.4572
