order_id,customer_id,product_name,category,quantity,unit_price,order_date,region,payment_method,status
1001,C001,Wireless Mouse,Electronics,2,25.99,2024-01-05,North,Credit Card,Completed
1002,C002,USB-C Cable,Electronics,5,12.50,2024-01-05,South,PayPal,Completed
1003,C003,Office Chair,Furniture,1,299.99,2024-01-06,East,Credit Card,Completed
1004,C001,Keyboard,Electronics,1,75.00,2024-01-07,North,Credit Card,Completed
1005,C004,Desk Lamp,Furniture,3,45.00,2024-01-08,West,Debit Card,Pending
1006,C005,Monitor Stand,Furniture,1,89.99,2024-01-08,South,PayPal,Completed
1007,C002,Webcam,Electronics,1,65.00,2024-01-09,South,PayPal,Completed
1008,C006,Notebook Set,Office Supplies,10,8.99,2024-01-10,East,Credit Card,Completed
1009,C007,Printer Paper,Office Supplies,5,24.99,2024-01-10,North,Debit Card,Cancelled
1010,C003,Standing Desk,Furniture,1,450.00,2024-01-11,East,Credit Card,Completed
1011,C008,Headphones,Electronics,2,120.00,2024-01-12,West,PayPal,Completed
1012,C004,Stapler,Office Supplies,4,15.99,2024-01-12,West,Cash,Completed
1013,C009,External SSD,Electronics,1,180.00,2024-01-13,North,Credit Card,Pending
1014,C010,Ergonomic Mouse,Electronics,1,55.00,2024-01-14,South,Debit Card,Completed
1015,C001,Monitor,Electronics,1,350.00,2024-01-15,North,Credit Card,Completed
1016,C011,File Cabinet,Furniture,1,175.00,2024-01-16,East,PayPal,Completed
1017,C012,Pens (Box),Office Supplies,20,3.50,2024-01-16,West,Cash,Completed
1018,C005,Laptop Stand,Furniture,2,65.00,2024-01-17,South,PayPal,Completed
1019,C013,Wireless Charger,Electronics,3,35.00,2024-01-18,North,Credit Card,Completed
1020,C014,Desk Organizer,Office Supplies,2,28.00,2024-01-19,East,Debit Card,Completed
